direction,episode,eps,infeas_rate,min_margin,objective,seed,track_rmse,viol_any,viol_freq,viol_integral,viol_max,viol_mean
random,1,0.1,0.0,2.1138212610002074,559.5061038887499,0,3.0537029540345215,0.0,0.0,0.0,0.0,0.0
random,2,0.1,0.25,2.1397087593523128,609.1982983907752,0,3.186423312001753,0.0,0.0,0.0,0.0,0.0
random,3,0.1,0.0,2.0822319595534156,573.4663812554558,0,3.091564817519481,0.0,0.0,0.0,0.0,0.0
normal,0,-0.1,0.25,-0.3745233422242944,26.36184317482271,1,0.5457691862437479,1.0,0.26229508196721313,3.6890520423004203,0.3745233422242944,0.23056575264377627
normal,1,-0.1,0.3333333333333333,-0.3678006950261622,28.882805040210776,1,0.5649585421384425,1.0,0.39344262295081966,4.632783391369664,0.3678006950261622,0.19303264130706932
normal,2,-0.1,0.3333333333333333,-0.5186931869424127,30.607406635817256,1,0.5825775873046702,1.0,0.36065573770491804,5.891193883555543,0.5186931869424127,0.2677815401616156
normal,3,-0.1,0.3333333333333333,-0.45188902740384873,28.247272649640305,1,0.5642433795271949,1.0,0.39344262295081966,5.056611645858123,0.45188902740384873,0.2106921519107551
normal,0,-0.05,0.08333333333333333,-0.2307810388918795,8.00723025868153,1,0.27848266485200024,1.0,0.16393442622950818,1.0504433824971424,0.2307810388918795,0.10504433824971422
normal,1,-0.05,0.25,-0.22884099449821338,13.070306878183917,1,0.35348751162071035,1.0,0.2786885245901639,2.259059084016654,0.22884099449821338,0.1328858284715679
normal,2,-0.05,0.3333333333333333,-0.20320837717757256,17.927171544671655,1,0.42182694140615756,1.0,0.26229508196721313,1.4930016152172905,0.20320837717757256,0.09331260095108065
normal,3,-0.05,0.3333333333333333,-0.20609268911330791,15.564287466329125,1,0.38120485643551905,1.0,0.2786885245901639,1.7560017158736845,0.20609268911330791,0.10329421858080495
normal,0,0.0,0.0,4.409709530861505e-08,1.1069884723994439,1,0.030181616867630604,0.0,0.0,0.0,0.0,0.0
normal,1,0.0,0.0,2.588083081178638e-10,7.835708999355844,1,0.305706848245431,0.0,0.0,0.0,0.0,0.0
normal,2,0.0,0.08333333333333333,3.6548541970660153e-13,10.883577922751096,1,0.36265166142472943,0.0,0.0,0.0,0.0,0.0
normal,3,0.0,0.0,5.002478431492818e-10,8.979322046720307,1,0.3274413940597955,0.0,0.0,0.0,0.0,0.0
normal,0,0.05,0.0,0.21279189494668804,7.284526228742538,1,0.3017520488558726,0.0,0.0,0.0,0.0,0.0
normal,1,0.05,0.0,0.1566526619569939,17.33593298549724,1,0.47974934667097124,0.0,0.0,0.0,0.0,0.0
normal,2,0.05,0.16666666666666666,0.1380854346057967,21.201306580264024,1,0.5289029539657626,0.0,0.0,0.0,0.0,0.0
normal,3,0.05,0.0,0.14684425184646743,18.819655564090574,1,0.49872242822240437,0.0,0.0,0.0,0.0,0.0
normal,0,0.1,0.0,0.4848122268390176,25.15432344959655,1,0.599648793492428,0.0,0.0,0.0,0.0,0.0
normal,1,0.1,0.0,0.3291281203524159,38.28972311205107,1,0.7331815913780737,0.0,0.0,0.0,0.0,0.0
normal,2,0.1,0.08333333333333333,0.3247526118666364,43.80343023158987,1,0.7786388553293583,0.0,0.0,0.0,0.0,0.0
normal,3,0.1,0.0,0.3312825986599923,39.95865930696012,1,0.7482011361603375,0.0,0.0,0.0,0.0,0.0
tangent,0,-0.1,0.16666666666666666,-0.11370995753988644,26.588334040573535,1,0.603735187584899,1.0,0.16393442622950818,0.5997033314705109,0.11370995753988644,0.059970333147051094
tangent,1,-0.1,0.25,-0.24468924168255224,35.82254170380046,1,0.669776829149823,1.0,0.2459016393442623,1.6113277895366656,0.24468924168255224,0.10742185263577769
tangent,2,-0.1,0.3333333333333333,-0.25081657903583066,46.509037731107085,1,0.7728749208497278,1.0,0.2459016393442623,1.837894344445091,0.25081657903583066,0.12252628962967275
tangent,3,-0.1,0.0,0.13397070597467486,35.507354788393975,1,0.699515807321284,0.0,0.0,0.0,0.0,0.0
tangent,0,-0.05,0.16666666666666666,-0.07132900495262973,8.374040587806132,1,0.2985598269928893,1.0,0.08196721311475409,0.20195839302018148,0.07132900495262973,0.040391678604036294
tangent,1,-0.05,0.25,-0.12782773059481978,16.255478613887565,1,0.4249747457308117,1.0,0.19672131147540983,0.7742830731442878,0.12782773059481978,0.06452358942869064
