trajectory_id,p_t,v_t,u_t,p_next,v_next,margin
2,0.8614544486731592,-0.20720874998113173,-0.01215918432564185,0.8414671475694157,-0.19987301103743532,1.1385455513268408
2,0.8414671475694157,-0.19987301103743532,0.1674966561652788,0.8240097121573071,-0.17457435412108535,1.1585328524305845
2,0.8240097121573071,-0.17457435412108535,0.31255729326956705,0.810521179808025,-0.13488532349282148,1.1759902878426929
2,0.810521179808025,-0.13488532349282148,0.38927854404558776,0.80175171432186,-0.08769465486164965,1.189478820191975
2,0.80175171432186,-0.08769465486164965,0.34409654624360564,0.797234321963208,-0.04517392358652029,1.19824828567814
3,-1.2069561578376158,0.15785882311208788,0.13960610063149292,-1.1903437050638153,0.1661245277380044,0.7930438421623842
3,-1.1903437050638153,0.1661245277380044,0.4347160553715713,-1.169977149627019,0.2036655543679624,0.8096562949361847
3,-1.169977149627019,0.2036655543679624,0.5,-1.145247610941342,0.2472953868567685,0.830022850372981
3,-1.145247610941342,0.2472953868567685,0.5,-1.1162114081594228,0.29036202781919296,0.8547523890586579
3,-1.1162114081594228,0.29036202781919296,0.47806002468729336,-1.0831522654585102,0.33059142700912564,0.8837885918405772
3,-1.0831522654585102,0.33059142700912564,0.38960870475460485,-1.0470232625787086,0.3612900287980169,0.9168477345414898
3,-1.0470232625787086,0.3612900287980169,0.3650161863526685,-1.0081328532745717,0.38890409304136975,0.9529767374212914
3,-1.0081328532745717,0.38890409304136975,0.32999811255623046,-0.9668912592494562,0.41241594025115513,0.9918671467254283
3,-0.9668912592494562,0.41241594025115513,0.06847798350815448,-0.9259678883061158,0.4092337094334037,1.033108740750544
3,-0.9259678883061158,0.4092337094334037,0.20458133898226438,-0.8840185042532333,0.41949384052882466,1.0740321116938842
3,-0.8840185042532333,0.41949384052882466,0.23432585981029905,-0.8407743130560358,0.4324419119719743,1.1159814957467669
3,-0.8407743130560358,0.4324419119719743,0.20633806154651474,-0.7965423488386637,0.44231964217372094,1.159225686943964
3,-0.7965423488386637,0.44231964217372094,0.2287215154524433,-0.7511164407651815,0.454259080734822,1.2034576511613362
3,-0.7511164407651815,0.454259080734822,0.06339073725932537,-0.7061642726458548,0.4495216811932664,1.2488835592348186
3,-0.7061642726458548,0.4495216811932664,0.1886804686347475,-0.6604183806407588,0.4574589200509601,1.2938357273541452
3,-0.6604183806407588,0.4574589200509601,0.15086332364510166,-0.6142528963341696,0.4616548430658921,1.3395816193592411
3,-0.6142528963341696,0.4616548430658921,-0.10040748928880297,-0.5701647653752808,0.44088130958888755,1.3857471036658304
3,-0.5701647653752808,0.44088130958888755,-0.21135936294255114,-0.5292088093851421,0.4095595599013865,1.4298352346247192
3,-0.5292088093851421,0.4095595599013865,-0.18126017583453977,-0.49101432834981146,0.3819448103533069,1.4707911906148579
3,-0.49101432834981146,0.3819448103533069,-0.2242339323075921,-0.45594630992943397,0.35068018420377484,1.5089856716501886
4,1.0918460640225551,0.5369991496426461,-0.4333877362302525,1.1414339380330119,0.49587874010456634,0.9081539359774449
4,1.1414339380330119,0.49587874010456634,-0.4139760216046903,1.1871188161952886,0.45684878162276776,0.8585660619669881
4,1.1871188161952886,0.45684878162276776,-0.4774800941921626,1.2282712143595704,0.4115239816428192,0.8128811838047114
4,1.2282712143595704,0.4115239816428192,-0.5,1.2646757540673035,0.3640453970773308,0.7717287856404296
4,1.2646757540673035,0.3640453970773308,-0.40839398275729955,1.2972573227470143,0.3258156867971089,0.7353242459326965
4,1.2972573227470143,0.3258156867971089,-0.4638423448219953,1.3254573893309518,0.28200066583937583,0.7027426772529857
4,1.3254573893309518,0.28200066583937583,-0.4481045210681404,1.349434103253962,0.23976713923010257,0.6745426106690482
4,1.349434103253962,0.23976713923010257,-0.5,1.368667307018794,0.19233203764832046,0.6505658967460379
4,1.368667307018794,0.19233203764832046,-0.42634587199972235,1.3838962340160519,0.1522892699725787,0.631332692981206
4,1.3838962340160519,0.1522892699725787,-0.41229387174730536,1.3952595589266021,0.11363324910550301,0.6161037659839481
4,1.3952595589266021,0.11363324910550301,-0.46917848442952714,1.4021868550677818,0.06927296141179803,0.6047404410733979
4,1.4021868550677818,0.06927296141179803,-0.5,1.4043716442556653,0.021847891878834118,0.5978131449322182
4,1.4043716442556653,0.021847891878834118,-0.20792762970084966,1.4047378310144358,0.0036618675877050054,0.5956283557443347
4,1.4047378310144358,0.0036618675877050054,-0.05484115992664926,1.4048164221115744,0.0007859109713863627,0.5952621689855642
4,1.4048164221115744,0.0007859109713863627,0.13990290168065211,1.4065547584730782,0.017383363615038866,0.5951835778884256
4,1.4065547584730782,0.017383363615038866,0.005469693574092355,1.4086054246096789,0.020506661366006405,0.5934452415269218
4,1.4086054246096789,0.020506661366006405,0.14919351911250212,1.4124023734657378,0.03796948856059043,0.5913945753903211
4,1.4124023734657378,0.03796948856059043,0.03275748363507079,1.4167739473633092,0.04371573897571325,0.5875976265342622
4,1.4167739473633092,0.04371573897571325,0.2311744105033986,1.423696955577358,0.06923008214048856,0.5832260526366908
4,1.423696955577358,0.06923008214048856,-0.03295176231414282,1.4305152354513928,0.06818279874034884,0.576303044422642
5,1.5276579683436058,-0.5878618792693981,-0.4271059406088421,1.4651880291708679,-0.6246993917273784,0.4723420316563942
5,1.4651880291708679,-0.6246993917273784,-0.4957940929170389,1.3985132427544322,-0.666747864164356,0.5348119708291321
5,1.3985132427544322,-0.666747864164356,-0.42457881306840206,1.328529727980356,-0.6998351477407605,0.6014867572455678
5,1.328529727980356,-0.6998351477407605,-0.3860033672283604,1.2557934696572608,-0.7273625832309526,0.6714702720196439
5,1.2557934696572608,-0.7273625832309526,-0.2994416365689061,1.1813276989598824,-0.7446577069737831,0.7442065303427392
5,1.1813276989598824,-0.7446577069737831,-0.4118227775135073,1.1041374919404903,-0.7719020701939205,0.8186723010401176
5,1.1041374919404903,-0.7719020701939205,-0.5,1.0234839132830567,-0.8065357865743357,0.8958625080595097
5,1.0234839132830567,-0.8065357865743357,-0.5,0.939517089659858,-0.839668236231986,0.9765160867169433
5,0.939517089659858,-0.839668236231986,-0.438500242573099,0.8529851234508042,-0.8653196620905375,1.0604829103401419
5,0.8529851234508042,-0.8653196620905375,-0.4394116314534815,0.7639749104302219,-0.890102130205823,1.1470148765491959
5,0.7639749104302219,-0.890102130205823,-0.21364831601961315,0.6748159027358452,-0.8915900769437666,1.236025089569778
5,0.6748159027358452,-0.8915900769437666,-0.23273611419925858,0.5853024473211341,-0.8951345541471109,1.3251840972641546
5,0.5853024473211341,-0.8951345541471109,-0.23286143834339268,0.49539906547197937,-0.8990338184915473,1.4146975526788659
5,0.49539906547197937,-0.8990338184915473,0.07922907476429736,0.4081695379915594,-0.8722952748041995,1.5046009345280207
5,0.4081695379915594,-0.8722952748041995,-0.07772381272858003,0.32188703565413596,-0.8628250233742345,1.5918304620084407
5,0.32188703565413596,-0.8628250233742345,-0.27047084685489287,0.23449670005773007,-0.8739033559640588,1.678112964345864
5,0.23449670005773007,-0.8739033559640588,-0.14185709602599042,0.1471949449972543,-0.8730175506047577,1.76550329994227
5,0.1471949449972543,-0.8730175506047577,-0.18262998200281114,0.05944225441543663,-0.8775269058181767,1.8528050550027457
5,0.05944225441543663,-0.8775269058181767,-0.21393124318310214,-0.02919978466154184,-0.8864203907697846,1.9405577455845633
5,-0.02919978466154184,-0.8864203907697846,-0.05681418877529715,-0.1172780470661949,-0.8807826240465304,1.970800215338458
6,-1.0808684634709729,0.1047927251833427,0.32063273063764497,-1.0678636695178103,0.13004793953162586,0.9191315365290271
6,-1.0678636695178103,0.13004793953162586,0.3147130802667814,-1.0524128138902853,0.15450855627525031,0.9321363304821897
6,-1.0524128138902853,0.15450855627525031,0.5,-1.0326863781045794,0.19726435785705945,0.9475871861097147
6,-1.0326863781045794,0.19726435785705945,0.5,-1.0087224480314558,0.23963930073123632,0.9673136218954206
6,-1.0087224480314558,0.23963930073123632,0.5,-0.9805661782896437,0.28156269741812145,0.9912775519685442
6,-0.9805661782896437,0.28156269741812145,0.36866468685392423,-0.9495820030105664,0.3098417527907731,1.0194338217103565
6,-0.9495820030105664,0.3098417527907731,0.04313855775468939,-0.9190677010416883,0.30514301968878016,1.0504179969894336
6,-0.9190677010416883,0.30514301968878016,-0.06030781522023419,-0.8900677274073513,0.2899997363433701,1.0809322989583117
6,-0.8900677274073513,0.2899997363433701,-0.13087370291359657,-0.8632851753459231,0.2678255206142816,1.1099322725926486
6,-0.8632851753459231,0.2678255206142816,-0.12588434408814408,-0.8386593758823627,0.24625799463560374,1.136714824654077
6,-0.8386593758823627,0.24625799463560374,-0.21071337667276208,-0.8170271401648154,0.21632235717547327,1.1613406241176372
6,-0.8170271401648154,0.21632235717547327,-0.2580602841789371,-0.7988441002385848,0.18183039926230646,1.1829728598351847
6,-0.7988441002385848,0.18183039926230646,-0.0934197804580878,-0.782444562306363,0.16399537932221778,1.2011558997614151
6,-0.782444562306363,0.16399537932221778,-0.1641890561239001,-0.7685272427040643,0.13917319602298678,1.217555437693637
6,-0.7685272427040643,0.13917319602298678,0.11897280232687613,-0.754248793484695,0.14278449219369294,1.2314727572959359
6,-0.754248793484695,0.14278449219369294,0.05516974173858824,-0.7402476760136043,0.1400111747109071,1.2457512065153051
6,-0.7402476760136043,0.1400111747109071,0.013414647040681828,-0.7269385572750545,0.1330911873854976,1.2597523239863957
6,-0.7269385572750545,0.1330911873854976,-0.15809650573764472,-0.7160315116754628,0.10907045599591805,1.2730614427249454
6,-0.7160315116754628,0.10907045599591805,0.026499202025403817,-0.7056696321706036,0.1036187950485915,1.2839684883245372
6,-0.7056696321706036,0.1036187950485915,-0.08876693781975621,-0.6970013782361326,0.08668253934470964,1.2943303678293963
9,-1.4475387082151707,0.8378882658893896,-0.13161430829909693,-1.3663143306555177,0.81224377559653,0.5524612917848293
9,-1.3663143306555177,0.81224377559653,-0.10160465067616822,-1.287413736705107,0.789005939504107,0.6336856693444823
9,-1.287413736705107,0.789005939504107,-0.5,-1.2148764629792785,0.7253727372582844,0.7125862632948929
9,-1.2148764629792785,0.7253727372582844,-0.5,-1.1486510199425344,0.6622544303674408,0.7851235370207215
